fund_name,ticker,date,security_name,CUSIP,price,quantity,clean_mkt_value,dirty_mkt_value,ptf_weight
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,3m Company 1.625% 19-sep-2021,88579YAU,NA,40000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,3m Company 2.25% 15-mar-2023,88579YAX,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,3m Company 2.25% 19-sep-2026,88579YAV,NA,80000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,3m Company 3.125% 19-sep-2046,88579YAW,NA,25000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,3m Company 3.25% 14-feb-2024,88579YBB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,3m Company 3.625% 14-sep-2028,88579YBC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,3m Company 3.625% 15-oct-2047,88579YAZ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,3m Company 4.0% 14-sep-2048,88579YBD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbott Laboratories 2.9% 30-nov-2021,002824BD,NA,1235000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbott Laboratories 3.4% 30-nov-2023,002824BE,NA,260000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbott Laboratories 3.75% 30-nov-2026,002824BF,NA,960000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbott Laboratories 4.75% 30-nov-2036,002824BG,NA,50000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbott Laboratories 4.9% 30-nov-2046,002824BH,NA,95000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbvie Inc. 2.3% 14-may-2021,00287YAU,NA,330000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbvie Inc. 2.5% 14-may-2020,00287YAT,NA,100000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbvie Inc. 2.85% 14-may-2023,00287YAX,NA,85000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbvie Inc. 3.2% 14-may-2026,00287YAY,NA,775000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbvie Inc. 4.45% 14-may-2046,00287YAW,NA,710000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abbvie Inc. 4.875% 14-nov-2048,00287YBD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abn Amro Bank N.v. 2.65% 19-jan-2021,00084DAQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Abu Dhabi National Energy Company 4.375% 23-apr-2025,00388WAF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Aep Transmission Co. Llc 3.1% 01-dec-2026,00115AAA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Aep Transmission Co. Llc 3.75% 01-dec-2047,00115AAG,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Aep Transmission Co. Llc 4.25% 15-sep-2048,00115AAJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Aetna Inc. 2.4% 15-jun-2021,00817YAU,NA,25000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Aetna Inc. 2.8% 15-jun-2023,00817YAV,NA,15000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Aetna Inc. 3.2% 15-jun-2026,00817YAW,NA,235000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Aetna Inc. 4.25% 15-jun-2036,00817YAY,NA,35000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Air Liquide Finance Sa 1.75% 27-sep-2021,00913RAB,NA,215000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Alexandria Real Estate Equities, Inc. 3.8% 15-apr-2026",015271AP,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Alexandria Real Estate Equities, Inc. 3.95% 15-jan-2028",015271AK,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Allergan Funding Scs 2.35% 12-mar-2018,00507UAM,NA,100000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Allergan Funding Scs 3.0% 12-mar-2020,00507UAP,NA,100000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Allergan Funding Scs 3.45% 15-mar-2022,00507UAR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Allergan Funding Scs 3.8% 15-mar-2025,00507UAS,NA,1005000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Allergan Funding Scs 4.75% 15-mar-2045,00507UAU,NA,460000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Allergan Funding Scs 4.85% 15-jun-2044,00507UAH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Alliant Energy Finance Llc 3.75% 15-jun-2023,01882YAA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Alliant Energy Finance Llc 4.25% 15-jun-2028,01882YAB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Allstate Corporation 3.28% 15-dec-2026,020002BD,NA,265000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Allstate Corporation 4.2% 15-dec-2046,020002BC,NA,15000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 2.625% 14-jan-2020",02209SAT,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 2.625% 16-sep-2026",02209SAU,NA,20000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 3.8% 14-feb-2024",02209SBB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 3.875% 16-sep-2046",02209SAV,NA,740000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 4.4% 14-feb-2026",02209SBC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 4.8% 14-feb-2029",02209SBD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 5.8% 14-feb-2039",02209SBE,NA,NA,NA,NA,0
